hypothesis	split_strategy	contrast_name	model_name	baseline_model	metric	held_out_groups	observed_model_value	observed_baseline_value	observed_delta	bootstrap_iterations	valid_bootstrap_iterations	bootstrap_ci95_low	bootstrap_ci95_high	interpretation
H1_spot_interaction_receptor_layer	cold_phage	boundary_reviewed_rbpbase_increment_over_exact_rbpbase	rbpbase_boundary_reviewed_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.069593	0.071841	-0.002248	200	200	-0.008760	0.004124	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	boundary_reviewed_rbpbase_increment_over_host_KO	rbpbase_boundary_reviewed_plus_host_KO_rate	host_KO_rate	pooled_average_precision	105	0.069593	0.054113	0.015480	200	200	-0.005771	0.057327	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	pharokka_increment_over_rbpbase	pharokka_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.106936	0.071841	0.035095	200	200	0.011679	0.079447	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_phage	phold_increment_over_rbpbase	phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.135757	0.071841	0.063916	200	200	0.024115	0.122133	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_phage	phold_new_increment_over_rbpbase	phold_new_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.060029	0.071841	-0.011812	200	200	-0.053976	0.010111	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	pharokka_phold_increment_over_rbpbase	pharokka_phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.135757	0.071841	0.063916	200	200	0.024138	0.125799	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_phage	domain_module_increment_over_rbpbase	domain_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.202358	0.071841	0.130517	200	200	0.040414	0.223288	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_phage	structural_module_increment_over_rbpbase	structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.063934	0.071841	-0.007907	200	200	-0.043876	0.021564	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	domain_structural_module_increment_over_rbpbase	domain_structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.203203	0.071841	0.131362	200	200	0.067154	0.203015	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_phage	domain_structural_module_vs_genome_similarity	domain_structural_module_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	105	0.203203	0.186960	0.016243	200	200	-0.051412	0.089601	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	union_increment_over_rbpbase	receptor_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.131389	0.071841	0.059548	200	200	0.020838	0.121427	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_phage	boundary_reviewed_union_increment_over_exact_union	receptor_boundary_reviewed_plus_host_KO_rate	receptor_plus_host_KO_rate	pooled_average_precision	105	0.140811	0.131389	0.009422	200	200	-0.001760	0.022329	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	boundary_reviewed_union_vs_genome_similarity	receptor_boundary_reviewed_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	105	0.140811	0.186960	-0.046149	200	200	-0.130159	0.035455	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	primary_receptor_union_vs_genome_similarity	receptor_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	105	0.131389	0.186960	-0.055571	200	200	-0.139719	0.035772	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	rbpbase_increment_over_host_KO	rbpbase_plus_host_KO_rate	host_KO_rate	pooled_average_precision	105	0.071841	0.054113	0.017728	200	200	-0.004349	0.058908	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	boundary_reviewed_rbpbase_increment_over_exact_rbpbase	rbpbase_boundary_reviewed_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.069593	0.071841	-0.002248	200	200	-0.007885	0.004316	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	boundary_reviewed_rbpbase_increment_over_host_KO	rbpbase_boundary_reviewed_plus_host_KO_rate	host_KO_rate	pooled_average_precision	105	0.069593	0.054113	0.015480	200	200	-0.004177	0.050370	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	pharokka_increment_over_rbpbase	pharokka_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.106936	0.071841	0.035095	200	200	0.014075	0.079954	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_phage_cluster	phold_increment_over_rbpbase	phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.135757	0.071841	0.063916	200	200	0.022276	0.120291	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_phage_cluster	phold_new_increment_over_rbpbase	phold_new_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.060029	0.071841	-0.011812	200	200	-0.046986	0.013688	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	pharokka_phold_increment_over_rbpbase	pharokka_phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.135757	0.071841	0.063916	200	200	0.030272	0.126400	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_phage_cluster	domain_module_increment_over_rbpbase	domain_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.202358	0.071841	0.130517	200	200	0.053818	0.221438	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_phage_cluster	structural_module_increment_over_rbpbase	structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.063934	0.071841	-0.007907	200	200	-0.046469	0.023805	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	domain_structural_module_increment_over_rbpbase	domain_structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.203203	0.071841	0.131362	200	200	0.068376	0.209580	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_phage_cluster	domain_structural_module_vs_genome_similarity	domain_structural_module_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	105	0.203203	0.186960	0.016243	200	200	-0.045441	0.071260	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	union_increment_over_rbpbase	receptor_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	105	0.131389	0.071841	0.059548	200	200	0.023729	0.113460	Group-bootstrap CI is above zero; still exploratory and benchmark-specific.
H1_spot_interaction_receptor_layer	cold_phage_cluster	boundary_reviewed_union_increment_over_exact_union	receptor_boundary_reviewed_plus_host_KO_rate	receptor_plus_host_KO_rate	pooled_average_precision	105	0.140811	0.131389	0.009422	200	200	-0.003100	0.024428	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	boundary_reviewed_union_vs_genome_similarity	receptor_boundary_reviewed_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	105	0.140811	0.186960	-0.046149	200	200	-0.135965	0.035668	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage_cluster	primary_receptor_union_vs_genome_similarity	receptor_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	105	0.131389	0.186960	-0.055571	200	200	-0.142637	0.017900	Group-bootstrap CI overlaps zero; no robust AP difference in this exploratory split.
