hypothesis	split_strategy	contrast_name	model_name	baseline_model	metric	model_value	baseline_value	delta	interpretation
H1_spot_interaction_receptor_layer	cold_phage	pharokka_increment_over_rbpbase	pharokka_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.106936	0.071841	0.035095	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	phold_increment_over_rbpbase	phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.135757	0.071841	0.063916	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	phold_new_increment_over_rbpbase	phold_new_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.060029	0.071841	-0.011812	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	pharokka_phold_increment_over_rbpbase	pharokka_phold_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.135757	0.071841	0.063916	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	domain_module_increment_over_rbpbase	domain_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.202358	0.071841	0.130517	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	structural_module_increment_over_rbpbase	structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.063934	0.071841	-0.007907	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	domain_structural_module_increment_over_rbpbase	domain_structural_module_plus_host_KO_rate	rbpbase_plus_host_KO_rate	pooled_average_precision	0.203203	0.071841	0.131362	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	domain_structural_module_vs_genome_similarity	domain_structural_module_plus_host_KO_rate	genome_similarity_nearest_phage_host_KO_rate	pooled_average_precision	0.203203	0.186960	0.016243	Model has higher pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	ordered_domain_architecture_increment_over_unordered_domain_module	ordered_domain_architecture_plus_host_KO_rate	domain_module_plus_host_KO_rate	pooled_average_precision	0.059756	0.202358	-0.142602	Model has lower pooled AP than baseline in this exploratory split.
H1_spot_interaction_receptor_layer	cold_phage	ordered_domain_structural_architecture_increment_over_unordered_module_identity	ordered_domain_structural_architecture_plus_host_KO_rate	domain_structural_module_plus_host_KO_rate	pooled_average_precision	0.059756	0.203203	-0.143447	Model has lower pooled AP than baseline in this exploratory split.
