hypothesis	split_strategy	model_name	prediction_rows	positive_rows	negative_rows	pooled_average_precision	pooled_roc_auc	pooled_balanced_accuracy_at_global_prevalence	pooled_brier_score	interpretation
H1_spot_interaction_receptor_layer	cold_phage_cluster	host_marginal_rate	10006	333	9673	0.065614	0.655786	0.614602	0.032031	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	phage_marginal_rate	10006	333	9673	0.029714	0.448633	0.449775	0.032198	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	pharokka_phold_plus_host_KO_rate	10006	333	9673	0.116218	0.708896	0.642783	0.031083	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	pharokka_plus_host_KO_rate	10006	333	9673	0.098796	0.695159	0.634744	0.031569	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	phold_new_plus_host_KO_rate	10006	333	9673	0.051690	0.641281	0.605310	0.032397	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	phold_plus_host_KO_rate	10006	333	9673	0.116218	0.708896	0.642783	0.031083	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	rbpbase_boundary_reviewed_plus_host_KO_rate	10006	333	9673	0.060899	0.621424	0.589485	0.032294	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	rbpbase_plus_host_KO_rate	10006	333	9673	0.064114	0.627416	0.596108	0.032192	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	receptor_boundary_reviewed_plus_host_KO_rate	10006	333	9673	0.118157	0.671015	0.622313	0.031136	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	receptor_plus_host_KO_rate	10006	333	9673	0.118254	0.673845	0.629463	0.031125	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	receptor_signature_rate	10006	333	9673	0.085035	0.631031	0.585758	0.031131	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
H1_spot_interaction_receptor_layer	cold_phage_cluster	taxonomy_cluster_rate	10006	333	9673	0.029714	0.448633	0.449775	0.032198	Pooled out-of-fold metric from grouped splits; spot-test initial interaction only.
