source_id	canonical_id	review_status	notes
S13a	phagehostlearn_2024_phage_S13a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
S13b	phagehostlearn_2024_phage_S13b	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
S13c	phagehostlearn_2024_phage_S13c	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
S13d	phagehostlearn_2024_phage_S13d	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
S13e	phagehostlearn_2024_phage_S13e	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
S13f	phagehostlearn_2024_phage_S13f	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
S6a	phagehostlearn_2024_phage_S6a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
S8a	phagehostlearn_2024_phage_S8a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
S8b	phagehostlearn_2024_phage_S8b	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
S8c	phagehostlearn_2024_phage_S8c	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
S9a	phagehostlearn_2024_phage_S9a	pending	generated_from=phagehostlearn_2024; entity_type=phage; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
