source_id	canonical_id	review_status	notes
ERS702130	phagehostlearn_2024_host_ERS702130	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS702131	phagehostlearn_2024_host_ERS702131	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS702132	phagehostlearn_2024_host_ERS702132	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS702133	phagehostlearn_2024_host_ERS702133	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS706552	phagehostlearn_2024_host_ERS706552	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS706553	phagehostlearn_2024_host_ERS706553	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS706554	phagehostlearn_2024_host_ERS706554	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS706555	phagehostlearn_2024_host_ERS706555	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS706556	phagehostlearn_2024_host_ERS706556	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS715399	phagehostlearn_2024_host_ERS715399	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS715400	phagehostlearn_2024_host_ERS715400	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS715401	phagehostlearn_2024_host_ERS715401	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS715409	phagehostlearn_2024_host_ERS715409	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS715410	phagehostlearn_2024_host_ERS715410	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS715468	phagehostlearn_2024_host_ERS715468	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS715469	phagehostlearn_2024_host_ERS715469	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS715470	phagehostlearn_2024_host_ERS715470	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS715471	phagehostlearn_2024_host_ERS715471	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS715472	phagehostlearn_2024_host_ERS715472	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS715473	phagehostlearn_2024_host_ERS715473	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS718583	phagehostlearn_2024_host_ERS718583	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS718584	phagehostlearn_2024_host_ERS718584	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS736962	phagehostlearn_2024_host_ERS736962	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS739094	phagehostlearn_2024_host_ERS739094	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS739095	phagehostlearn_2024_host_ERS739095	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS743101	phagehostlearn_2024_host_ERS743101	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS744787	phagehostlearn_2024_host_ERS744787	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS747603	phagehostlearn_2024_host_ERS747603	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS747611	phagehostlearn_2024_host_ERS747611	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS747612	phagehostlearn_2024_host_ERS747612	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS764450	phagehostlearn_2024_host_ERS764450	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS764451	phagehostlearn_2024_host_ERS764451	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS764452	phagehostlearn_2024_host_ERS764452	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS799795	phagehostlearn_2024_host_ERS799795	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS799796	phagehostlearn_2024_host_ERS799796	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS799797	phagehostlearn_2024_host_ERS799797	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS799798	phagehostlearn_2024_host_ERS799798	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
ERS812516	phagehostlearn_2024_host_ERS812516	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HAV1_13	phagehostlearn_2024_host_HAV1_13	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HAV1_14	phagehostlearn_2024_host_HAV1_14	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HCV1_10	phagehostlearn_2024_host_HCV1_10	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HCV1_19	phagehostlearn_2024_host_HCV1_19	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HCV1_21	phagehostlearn_2024_host_HCV1_21	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HCV1_24	phagehostlearn_2024_host_HCV1_24	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HCV1_26	phagehostlearn_2024_host_HCV1_26	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HCV1_27	phagehostlearn_2024_host_HCV1_27	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HCV1_33	phagehostlearn_2024_host_HCV1_33	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HCV1_35	phagehostlearn_2024_host_HCV1_35	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HCV1_36	phagehostlearn_2024_host_HCV1_36	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HCV1_42	phagehostlearn_2024_host_HCV1_42	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGUA4_08	phagehostlearn_2024_host_HGUA4_08	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGUA4_09	phagehostlearn_2024_host_HGUA4_09	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGUA4_15	phagehostlearn_2024_host_HGUA4_15	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGUA4_51	phagehostlearn_2024_host_HGUA4_51	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGUC2_04	phagehostlearn_2024_host_HGUC2_04	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGUC2_09	phagehostlearn_2024_host_HGUC2_09	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_01	phagehostlearn_2024_host_HGV2C_01	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_02	phagehostlearn_2024_host_HGV2C_02	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_03	phagehostlearn_2024_host_HGV2C_03	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_06	phagehostlearn_2024_host_HGV2C_06	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_08	phagehostlearn_2024_host_HGV2C_08	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_10	phagehostlearn_2024_host_HGV2C_10	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_11	phagehostlearn_2024_host_HGV2C_11	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_13	phagehostlearn_2024_host_HGV2C_13	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_14	phagehostlearn_2024_host_HGV2C_14	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_16	phagehostlearn_2024_host_HGV2C_16	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_17	phagehostlearn_2024_host_HGV2C_17	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_18	phagehostlearn_2024_host_HGV2C_18	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_19	phagehostlearn_2024_host_HGV2C_19	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_20	phagehostlearn_2024_host_HGV2C_20	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_21	phagehostlearn_2024_host_HGV2C_21	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_23	phagehostlearn_2024_host_HGV2C_23	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_28	phagehostlearn_2024_host_HGV2C_28	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_33	phagehostlearn_2024_host_HGV2C_33	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_34	phagehostlearn_2024_host_HGV2C_34	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_36_contigs	phagehostlearn_2024_host_HGV2C_36_contigs	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_37	phagehostlearn_2024_host_HGV2C_37	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2C_39	phagehostlearn_2024_host_HGV2C_39	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
HGV2_297	phagehostlearn_2024_host_HGV2_297	pending	generated_from=phagehostlearn_2024; entity_type=host; reviewer_must_set_review_status_to_reviewed_to_enable; canonical entity row generated in disabled PhageHostLearn source export
